ethyl acetate
water; toluene; acetonitrile
methanol; water
ethanol; ethanol
water; acetonitrile
nitromethane; water
glycerol
1,4-dioxane; N,N-dimethyl-formamide
acetic acid
toluene
dimethyl sulfoxide
methanol
acetonitrile
1,2-dichloro-ethane
ethyl acetate; N,N-dimethyl-formamide
dichloromethane
chlorobenzene
water
ethanol; water
methanol; chloroform
water; glycerol
methanol; acetic acid
chloroform
neat (no solvent)
ethanol
